year,site,strength_gtex,mean_dayl.s_Jan,mean_srad.wm2_Jan,mean_tmax.c_Jan,mean_tmin.c_Jan,mean_vp.pa_Jan,sum_prcp.mm_Jan,mean_dayl.s_Feb,mean_srad.wm2_Feb,mean_tmax.c_Feb,mean_tmin.c_Feb,mean_vp.pa_Feb,sum_prcp.mm_Feb,mean_dayl.s_Mar,mean_srad.wm2_Mar,mean_tmax.c_Mar,mean_tmin.c_Mar,mean_vp.pa_Mar,sum_prcp.mm_Mar,mean_dayl.s_Apr,mean_srad.wm2_Apr,mean_tmax.c_Apr,mean_tmin.c_Apr,mean_vp.pa_Apr,sum_prcp.mm_Apr,mean_dayl.s_May,mean_srad.wm2_May,mean_tmax.c_May,mean_tmin.c_May,mean_vp.pa_May,sum_prcp.mm_May,mean_dayl.s_Jun,mean_srad.wm2_Jun,mean_tmax.c_Jun,mean_tmin.c_Jun,mean_vp.pa_Jun,sum_prcp.mm_Jun,mean_dayl.s_Jul,mean_srad.wm2_Jul,mean_tmax.c_Jul,mean_tmin.c_Jul,mean_vp.pa_Jul,sum_prcp.mm_Jul,mean_dayl.s_Aug,mean_srad.wm2_Aug,mean_tmax.c_Aug,mean_tmin.c_Aug,mean_vp.pa_Aug,sum_prcp.mm_Aug,mean_dayl.s_Sep,mean_srad.wm2_Sep,mean_tmax.c_Sep,mean_tmin.c_Sep,mean_vp.pa_Sep,sum_prcp.mm_Sep,mean_dayl.s_Oct,mean_srad.wm2_Oct,mean_tmax.c_Oct,mean_tmin.c_Oct,mean_vp.pa_Oct,sum_prcp.mm_Oct,mean_dayl.s_Nov,mean_srad.wm2_Nov,mean_tmax.c_Nov,mean_tmin.c_Nov,mean_vp.pa_Nov,sum_prcp.mm_Nov,mean_dayl.s_Dec,mean_srad.wm2_Dec,mean_tmax.c_Dec,mean_tmin.c_Dec,mean_vp.pa_Dec,sum_prcp.mm_Dec
1980,"Altus, OK",25.3,35872.6,242.4,10.2,-1.5,535.7,61.6,38728.5,366,13.8,-2.3,528.1,15.6,42536,391.4,18.9,1.5,609.9,29.3,46520.5,450.4,24.6,7,722.2,47.8,49829.3,402.7,27.9,13.8,1464.5,281.7,51429.4,427,36.6,21.2,2536.8,20.7,50561.3,409.1,40.5,23.7,2946.2,0,47608.3,396,38.1,23.1,2403.8,13.9,43731.9,380.7,32.1,18.4,919.3,34.9,39757.3,378.5,26.2,8.2,631.5,8.8,36480.5,253.4,18,2.6,651.8,14.1,34964.4,249.9,14.6,-0.5,619,39.8
1980,"Ames Plantation, TN",27.2,35743.3,214.8,9.2,0.2,636.2,106.6,38650.8,322.4,8,-3.3,517,43.2,42524.5,321.7,13.7,1.8,745.3,319.2,46578,408.4,20.8,7.4,1052.2,198.7,49945.8,397.2,26.4,13.6,1593.2,87.8,51575.5,409.3,30.9,18.2,2128.1,66.7,50691.2,411.4,35.8,22.2,2590.9,61.2,47685,400.4,35,20.8,2379.2,42,43741.1,316.2,30.6,17.5,2012.3,104,39697.6,333.9,21.8,6.6,1033,82,36362.4,223,15.3,3.2,802.2,139.6,34818.2,238.8,11.3,-1.2,607.5,29.5
1980,"Artesia, NM",26,36359,279.2,13.4,-2.4,387,29.8,39021.5,385.7,17,-1.2,380.7,9,42579.2,458.9,20.8,0.5,252.3,0,46303.7,487.5,24.3,4.3,343.9,28.2,49390.8,484.6,28.9,11.1,557.8,38,50880.2,505.4,38.4,18.7,931.8,7.9,50072.5,487.5,38,20.3,959.9,1.6,47319.5,445.3,33.9,18.3,862.4,36.6,43697.3,376.3,29.4,15.4,1318.4,192.3,39982.2,391.1,23.5,5.8,967.2,11.3,36925.1,281.7,15.6,-0.7,613.2,27.7,35514,285.7,16.2,-1.6,523.7,2.9
1980,"Auburn, AL",24.8,36420.2,239.5,13.9,2.9,787.8,119.4,39058.4,357.2,13.9,-1.1,619.1,98.6,42584.6,325.3,18.3,4.8,921.5,330.6,46276.3,425.3,23.1,8.7,1156.3,143.8,49335.7,379.4,27,14.7,1702.4,199.6,50811.1,415.4,31.5,18.5,2141.1,68.3,50011.1,405,34.2,20.9,2476.5,75.1,47283.1,396.3,33.9,20.2,2364,50,43693,345.9,31.4,18.6,2147.8,117.9,40010.5,335.8,22.7,9,1190.4,77.4,36981,264.9,17.8,4.6,888.1,86.6,35583.1,252.5,14.4,0.4,644.2,57.9
1980,"Beeville, TX",24.5,37494.3,277,19.9,7.2,1054.8,105,39708.3,365.3,19.9,6.4,1005.6,39.9,42680.7,374.5,24.4,11.2,1388.2,34.8,45794.8,474.2,27.7,12.7,1269.6,8.3,48366.2,367.7,30.6,19.6,1997.5,125.5,49600.7,455.7,35.7,23,2367.2,0,48931.9,433.8,38,23.6,2361.7,58.5,46642.4,362.3,34.3,23.3,2842.4,238.8,43616,345.2,33.4,22.2,2685,176.9,40510,362.6,27.9,14.4,1715.7,10.3,37963.9,293.4,21.8,8.3,1145.9,64.2,36794.5,263.3,19.4,8,1141.3,34
1980,"Belle Mina, AL",28.1,35872.6,223.5,9.7,0.7,662.4,142.4,38728.5,336.4,9.2,-3.2,527.7,49.8,42536,333.1,14.9,2.5,783.2,407.6,46520.5,431.3,22.2,7.5,1062.3,135.8,49829.3,388.9,26.6,13.9,1626.4,202.2,51429.4,418.8,31,17.9,2084.4,60.7,50561.3,406.7,35.1,21,2502.8,87.3,47608.3,388.2,34.7,20,2335.3,94.3,43731.9,340.6,31.2,17,1969.2,188.4,39757.3,336.4,22,6.6,1023.8,56.5,36480.5,230.3,16.2,3.4,815.9,135.3,34964.4,245,11.9,-1.7,561.5,28
1980,"Bossier City, LA",25.9,36450.6,221.2,13.2,3.2,797.3,116.8,39076.8,352.5,14.6,0.6,675.1,94.3,42587.3,351.5,18.9,5.3,931,107.9,46262.7,412.8,23.8,9.5,1212.7,142.3,49308.2,389.3,28.6,16.8,1938.1,128.6,50776.8,408.1,33.8,21.4,2577,75,49980.5,425.5,37.6,22.8,2768,32.9,47265,408,37,22.1,2345.4,34.8,43690.8,338.3,34.3,20.5,2157.3,48.1,40024.7,362.1,25.6,8.5,1083.4,75.2,37008.9,248.3,18.7,4.8,906.2,85.9,35617.5,262.4,15.7,2,754,17.3
1980,"Chickasha, OK",25.9,35759.6,244,9.5,-1.8,553.8,44.9,38660.5,354.9,12.1,-2.9,507.8,27.6,42526,373.3,17.4,1.8,639.8,40.8,46570.8,449.2,23.6,6.9,799.5,52.7,49931.1,398.9,27.7,13.9,1503.4,205.5,51557.1,419.6,34.9,21,2501.3,61,50674.9,418.8,39.8,23.1,2849.7,0,47675.4,389.1,37.8,22.8,2504.3,11.7,43739.9,359.7,32.2,18.4,1286.7,48.6,39705.1,362.1,25.2,8,810.5,27.2,36377.2,243.2,17.4,2.9,767.5,24.4,34836.6,249,13.8,-0.2,672.6,45.7
1980,"Clarkdale, LA",26.1,35678.1,264.9,5.8,-5.8,406,140.5,38611.6,367.7,8.9,-5.9,408.2,141.5,42518.8,398.4,8,-6,398,70.2,46607,537.8,15.2,-3.1,498.1,37.5,50004.5,503.4,17,-0.4,528.1,12.4,51649.2,557.5,27.2,5.2,393.2,6.7,50756.8,485.9,29,10.2,536.3,58,47723.6,489.6,27.5,9.7,583.2,8.2,43745.7,455.1,25.4,5.5,649.7,31.4,39667.6,361.9,18.6,-0.6,464.8,27.6,36302.8,311.3,14.2,-4.6,393,0,34744.4,261.8,12,-4.1,382.2,17.8
1980,"College Station, TX",27.1,36941.2,254,15.8,5.6,948.3,105.2,39373.2,362.8,17.4,3.8,843.5,82,42631.1,358.6,21.3,7.7,1110.1,134.8,46043.2,446.2,24.8,10.9,1340.9,44.7,48865.7,361.9,28.9,18.2,2120.1,162.6,50223.7,434.6,34.8,22.3,2692.6,10.7,49487.6,419.1,38,23.3,2740.6,18.8,46972.8,435.7,36.9,23.3,1732.7,6.3,43655.7,354.7,33.7,21.8,1807.1,104.1,40252.4,356.2,26.5,11.7,1360.8,68.4,37457.6,269.2,20,7.1,1063.9,87.4,36171,264.7,17.5,5.6,971.5,10.8
